Unnamed: 0,Title,Cleaned_Ingredients
12778,Almond Cake with Roasted Pineapple and Vanilla Cream,1/2 teaspoon  lemon peel; 1 4 1/2-pound pineapple
12779,Meyer Lemon Buttermilk Pudding Cake with Fresh Berries,1/3 cup fresh Meyer lemon juice
12780,Chinese Hot-and-Sour Soup,5 ounce s boneless pork loin; 4 small Chinese dried black mushrooms*; 12 small dried tree ear mushrooms*; 2 tablespoons thinly  scallion greens; 2 tablespoons fresh whole cilantro leaves
12781,Rich Beef Broth with Carrot,4 pound s short ribs or flanken; 2 pounds meaty beef shanks; 2 onions
12782,Glazed Duck with Clementine Sauce,2  Pekin ducks; 2 medium onions; 1 large celery rib; 1/3 cup  shallot
12783,Bacon Corn Muffins,1 cup chopped scallions
12784,Mussels with Tomato Broth,3 g arlic cloves; 4 pounds mussels
12785,Potatoes with Peppers and Chorizo,2 fresh jalapeño chiles; 1 large onion
12787,Mahón Cheese Ice Cream,
12788,Sticky Rice with Chinese Sausage and Dried Scallops,6 to 8  large dried scallops; 12 to 15 Chinese dried black mushrooms; 4 links Cantonese sweet sausage; 2 bunches of scallions
12789,Hot Pepper and Garlic Shrimp,2 pound s large shrimp in shell
12790,Escarole and Edamame Salad,2 cup s frozen shelled edamame; 1/3 cup  fresh mint
12791,Parmesan Muffins,1 teaspoon  garlic; 1 teaspoon  fresh rosemary
12792,Banoffee Pie,3 l arge bananas
12793,Spiced Beef and Onion Pitas with Parsley Sauce,3 cup s loosely packed fresh flat-leaf parsley leaves; 1 tablespoon chopped shallot; 1 pound white onions
12794,Salt Cod in Tomato Garlic Confit,8 l arge garlic cloves; 4  cans  tomatoes
12795,Spaghetti With Marinara Sauce,
12796,"Whole-Wheat Spaghetti with Broccoli, Chickpeas, and Garlic",6 g arlic cloves; 2  packages frozen chopped broccoli; 1  can chickpeas; Accompaniments: finely  parmesan; lemon wedges; 1 lemon wedges
12797,Cauliflower with Serrano Ham and Tomato,1 l arge head cauliflower; 1/3 cup chopped red onion; 1 cup grape or cherry tomatoes; 1/4 pound thinly  serrano ham; 1 1/2 tablespoons fresh lemon juice; 1/4 cup  fresh flat-leaf parsley
12798,"Clementine, Olive, and Endive Salad",4 pale inner ribs of celery; 1 cup drained cocktail  onions; 3/4 cup loosely packed fresh flat-leaf parsley leaves
12799,Linzer Muffins,1/2 teaspoon finely  fresh lemon zest
12800,Balsamic Roasted Potato Wedges,4 l arge yellow-fleshed potatoes
12801,Short Rib Terrine,8 l arge garlic cloves
12802,Chocolate Cherry Muffins,5 ounce s bittersweet chocolate
12803,"Chicken Empanada with Chorizo, Raisins, and Olives",3 whole chicken legs; 2 large onions
12804,Beef Salad with Potatoes and Cornichons,1/4 cup shallots; 1/2 pound haricots verts or regular green beans; 1 large head Bibb lettuce; 6 cornichons; 1/4 cup chopped fresh flat-leaf parsley
12805,Orange-Soy-Braised Pork Ribs,4 pound s country-style pork ribs; 1 1/2 cups fresh orange juice; 2 tablespoons  peeled fresh ginger; 1 tablespoon  garlic
12806,Pumpkin Seed Brittle,
12807,Chicken Curry with Cashews,2 medium onions; 2 large garlic cloves; 1 tablespoon  peeled fresh ginger; 1  chicken; 1  can  tomatoes; 1/4 cup chopped fresh cilantro; Garnish: chopped fresh cilantro
12808,Apricot Chicken with Almonds,4  skinless boneless chicken breast halves; 1/2 cup apricot preserves
12809,Chocolate Tart with Candied Clementine Peel,10 1/2 ounce s fine-quality bittersweet chocolate
12810,Roasted Peppers with Boquerones,
12811,Minted Eggplant,3 medium eggplants; 1 garlic clove; 2 tablespoons  fresh mint; 2 tablespoons  fresh flat-leaf parsley
12812,Wine-Braised Chuck Roast with Onions,4 pound s boneless beef chuck roast; 2 pounds onions; 2 large garlic cloves; 1 tablespoon tomato paste; Garnish: chopped fresh flat-leaf parsley
12813,Trout with Haricots Verts and Almonds,Four 10-ounce boned whole rainbow trout; 2 teaspoons  Italian parsley; 2 teaspoons fresh lemon juice
12814,Chocolate Sauce,8 ounce s semisweet chocolate
12815,Lemon Tart,1/2 cup fresh lemon juice
12816,Cream Puffs with Vanilla Ice Cream and Chocolate Sauce,
12817,Bibb Lettuce Salad,4 head s Bibb lettuce; 2 tablespoons  shallots; 2 tablespoons  chives; 1/4 cup Italian parsley leaves; 1/4 cup tarragon leaves; 1 tablespoon plus 1 teaspoon fresh lemon juice
12818,,
12819,Bittersweet Chocolate-Citrus Tart with Jasmine Whipped Cream,8 ounce s bittersweet or semisweet chocolate; 1/2 teaspoon  finely  blood orange peel or orange peel; 1/2 teaspoon  finely  pink grapefruit peel
12820,White Chocolate Praline Ice Cream Terrine with Blackberry-Raspberry Sauce,1 1/3 cup s coarsely chopped walnuts; 8 ounces high-quality white chocolate
12821,Cranberry Granita,1/2 cup orange juice; Fresh mint sprigs
12822,White Chocolate and Peppermint Cookie Brittle,10 ounce s high-quality white chocolate
12823,Walnut Sables,1 cup toasted walnuts
12824,Triple-Chocolate Cranberry Oatmeal Cookies,1/2 cup coarsely chopped fresh or frozen cranberries; chopped
12825,Spiced Fritters with Maple-Vanilla Syrup,1 vanilla bean
12826,Pecan Lace Sandwich Cookies with Orange Buttercream,1 tablespoon orange juice; 3/4 teaspoon  orange peel
12827,Joanne's Apricot Bars,2/3 cup dried apricot halves; 1/2 cup chopped toasted walnuts
12828,Iced Stars,
12829,,
12830,Dried Cherry and Ginger Cannoli,1 tablespoon  orange peel; 3/4 cup  crystallized ginger; 4 ounces bittersweet  or semisweet chocolate; Chopped pistachios
12831,Chocolate-Covered Gingerbread Kids,2 teaspoons ground ginger; 6 ounces semisweet chocolate; Cinnamon decorating candies or chopped crystallized ginger
12832,Coconut-Chocolate Marjolaine,4 ounce s bittersweet  or semisweet chocolate; 1 1/2 cups unsweetened shredded coconut*; 12 ounces bittersweet  or semisweet chocolate; 1 cup unsweetened wide-shred coconut
12833,"Baked Apples with Cranberries, Raisins, and Apricots",4 l arge Golden Delicious apples; 1/4 cup chopped dried apricots; 2 cups sparkling apple-cranberry juice; 1/4 cup frozen concentrated cranberry juice cocktail
12834,Truffled Potato Gratin,2 tablespoons chopped fresh thyme; 5 large garlic cloves
12835,Roasted Baby Beets,4 l arge fresh rosemary sprigs
12836,Chestnut Risotto with Butternut Squash,1 small white onion; 2 cups peeled roasted chestnuts
12837,Roast Lamb with Marionberry-Pecan Crust,2 well-trimmed racks of lamb; 3/4 cup  pecans; 6 tablespoons  fresh Italian parsley
12838,Baked Rigatoni with Sausage and Mushrooms,4 ounce s dried porcini mushrooms; 4 large onions; 5 pounds hot Italian sausages; 4 pounds button mushrooms; 4 teaspoons chopped fresh rosemary; Fresh rosemary sprigs
12839,Miso-Glazed Black Cod on Sunflower Sprouts,2 tablespoons  peeled fresh ginger; 4 6-ounce skinless black cod fillets; 1/2 cup chopped green onions
12840,Vanilla-Maple French Toast with Warm Berry Preserves,Warm Berry Preserves
12841,Rosemary and Mustard Breakfast Sausages,1 medium onion; 1 teaspoon chopped fresh rosemary; 1 14-ounce package breakfast sausages; Fresh rosemary sprigs
12842,Breakfast Polenta with Chorizo and Queso Fresco,1/2 cup chopped fresh cilantro; 1 1-pound bag frozen yellow corn kernels; 1 pound fresh link chorizo sausage; 1 pound cherry tomatoes
12843,Romaine and Arugula Salad with Toasted Seeds,1 teaspoon whole coriander seeds; 2 tablespoons fresh lemon juice; 1 teaspoon  finely  lemon peel; 1 large head of romaine lettuce; 4 cups baby arugula leaves
12844,"Mâche Salad with Blood Oranges, Pistachios, and Pomegranate",2 tablespoons fresh blood orange juice or regular orange juice; 1 tablespoon  shallot; 2 blood oranges or regular oranges; 1/4 cup pomegranate seeds or dried cranberries
12846,Roasted Cherry Tomato and Fresh Herb Bread,2 pound s  very small cherry tomatoes; 4 shallots; 2 tablespoons chopped fresh marjoram; Additional chopped marjoram
12847,Ruby Champagne Cocktail,2 Ruby Red pink grapefruits; 1 750-ml bottle brut Champagne
12848,Pomegranate-Ginger Champagne Cocktail,1 cup pomegranate juice; 1 1/4-inch-thick slice fresh ginger; 4 tablespoons fresh orange juice; 1 teaspoon Cointreau or other orange liqueur; 1 750-ml bottle brut Champagne
12849,Kumquat Champagne Cocktail,1/3 cup Grand Marnier or other orange liqueur; 1 750-ml bottle brut Champagne
12850,Caramel-Swirl Hot Chocolate,
12851,Sesame Wonton Triangles with Smoked Salmon and Wasabi,2 tablespoons chopped chives; 1 teaspoon  peeled fresh ginger; 6 ounces  smoked salmon; Daikon radish sprouts or other small sprouts
12852,Porcini Fondue with Ham and Ciabatta,1 ounce dried porcini mushrooms; 1 garlic clove; 2 pounds 1/4-inch-thick ham slices
12853,Pancetta Crisps with Goat Cheese and Pear,2 very ripe small pears
12854,Cumin-Scented Beet Latkes,3/4 teaspoon ground coriander; Celery and Cilantro Relish; Apple; Green Onion; and Jalapeño Salsa
12855,Milk Chocolate Mousse Cake with Hazelnut Crunch Crust,1/3 cup hazelnuts
12856,"Rosemary-Sage Burgers with Apple Slaw and Chive ""Mayo""",1/2 lb extra-lean ground round beef; 1/2 lb lean ground pork; 1 tbsp chopped fresh rosemary; 1 tbsp chopped fresh sage; 1 cup baby spinach leaves; 2 tbsp chopped fresh chives; Apple slaw; 3 green apples
12857,Cajun Turkey Cheeseburgers With Tabasco Ketchup,1 lb lean ground turkey; 2 tbsp tomato paste
12858,Mulled Red Wine,4  strips fresh lemon zest; 4  strips fresh orange zest; 1/2 cup kirsch or other cherry-flavored brandy; 1 vanilla bean
12859,Ginger Pineapple Sparkling Punch,1 cup thinly  unpeeled fresh ginger; 3 cups unsweetened pineapple juice; 1/4 cup fresh lemon juice; 1/4 cup fresh lime juice; Garnish: lemon and lime slices
12860,Brandied Hot Chocolate,10 oz fine-quality bittersweet chocolate
12861,Chocolate-Covered Raspberry Truffles,7 oz fine-quality bittersweet chocolate; 1 1/2 tablespoons framboise  or brandy
12862,Chocolate Hazelnut Tart,1 cup hazelnuts; 10 1/2 oz fine-quality bittersweet chocolate
12863,Cardamom Butter Squares,
12864,Pineapple Anise Sherbet,1  pineapple
12865,Ginger Doughnuts,1 1/2 teaspoons ground ginger; 2 oz crystalized ginger
12866,Molasses Crinkles,3/4 teaspoon ground ginger
12867,Bittersweet Chocolate Cookies,5 oz fine-quality semisweet or bittersweet chocolate; 1/2 cup hazelnuts or  almonds
12868,Polish Apricot-Filled Cookies,1 3/4 cup s coarsely chopped dried apricots; 1/4 cup sweet orange marmalade
12869,Anise Sesame Cookies,
12870,Ambrosia Layer Cake,1 tablespoon finely  fresh orange zest; 1/2 cup fresh orange juice; 1/4 cup fresh lemon juice; 2 teaspoons finely  fresh orange zest; 1  bag sweetened flaked coconut; 1 teaspoon fresh lemon juice
12871,Almond Bar Cookies,
12872,Applesauce with Butter Pecan Crumbs,1 tablespoon  pecans or walnuts
12873,Espagnole Sauce,1 small carrot; 1 medium onion; 1/4 cup canned tomato purée; 2 large garlic cloves; 1 celery rib; 1 Turkish or 1/2 California bay leaf
12874,Creamed Spinach,3 lb baby spinach; 1 small onion
12875,Mâche Salad with Creole Vinaigrette,"""16 cups loosely packed mâche """
12876,Bulgur with Apricots and Almonds,1 small onion; 1/4 cup chopped dried apricots; 3 tablespoons coarsely chopped fresh flat-leaf parsley
12877,Grilled Cheddar and Fennel Sandwiches with Curry Mayo,2 tablespoons  shallot; 1 tablespoon fresh lemon juice; 1/4 cup very thinly  fennel bulb
12878,Sauteed Pork Chop with Sage-Cider Cream Sauce,1  rib pork chop; 1/3 cup  onion; 1 teaspoon  fresh sage; 1 1/2 teaspoons  fresh parsley
12879,Braised Chicken with Celery Root and Garlic,3 lb chicken parts such as breasts and thighs  and drumsticks; 1 celery root; 1 head garlic; 2 fresh thyme sprigs; Garnish: fresh thyme
12880,Baked Chicken with White Beans and Tomatoes,6 bacon slices; 4 large chicken thighs with skin and bone; 2 medium onions; 1  can stewed tomatoes including juice; 2  cans small white beans
12881,Beef Tenderloin with Mushrooms and Espagnole Sauce,2  piece s trimmed center-cut beef tenderloin roast; 1 1/2 lb small fresh cremini mushrooms
12882,Striped Bass in Agrodolce Sauce,1 1/2 lb shallots
12883,Smoked Whitefish on Cucumber Rounds,2 l arge seedless cucumbers; 1/2 cup   Granny Smith apple; 1 1/2 tablespoons  shallot; 1 1/2 teaspoons finely  fresh lemon zest; 1 teaspoon fresh lemon juice; 2 teaspoons  fresh dill plus 36 whole small fresh dill sprigs; 1 1/4 cups flaked smoked whitefish
12885,Spicy Tomato Soup,2  cans whole tomatoes in juice; 1 large onion; 2 teaspoons  garlic; 1 teaspoon  fresh jalapeño chile including seeds; 2 teaspoons  peeled fresh ginger
12886,Black Bean Soup,1 1/2 cup s dried black beans; 8 bacon slices; 1 small onion; 1 1/2 teaspoons chopped garlic; 1/2 teaspoon  seeded fresh jalape&241;o chile; 1 Turkish or 1/2 California bay leaf; 2 tablespoons chopped fresh cilantro
12887,Shrimp Courtbouillon with Rice,1  can whole tomatoes in juice; 1 1/4 lb medium shrimp in shell
12888,"Shaved Fennel, Radish, and Grapefruit Salad",2 tablespoons fennel seeds; 4 medium fennel bulbs; 1 lb radishes; 4 pink or red grapefruits; 1 medium garlic clove
12889,Hazelnut and Olive Rugelach,3/4 teaspoon dried thyme; 1/3 cup brine-cured green olives
12890,Red Pepper Stacks,1 tablespoon  fresh parsley; 1 teaspoon finely  lemon zest
12891,Radish Flowers,20 small radishes with leafy tops
12892,Spicy Toasted Pecans,
12894,Olive Tomato Squares,1/4 cup well-stirred prepared basil pesto; 1 tablespoon chopped fresh parsley
12895,Mushrooms with Garlic Butter,1 tablespoon  garlic; 3/4 lb small white mushrooms; 2 tablespoons  fresh flat-leaf parsley
12896,Chicken Satay Bites,1/4 cup chopped fresh cilantro plus 32 whole fresh cilantro leaves; 3 tablespoons fresh lime juice; 1 tablespoon chopped peeled fresh ginger; 2 cups shredded cooked chicken
12897,Spanish Olive and Cream Cheese Canapes,1/3 cup pimiento-stuffed green Spanish olives
12898,Toasted-Pecan Pie,
12899,Caramel-Pumpkin Pie with Mincemeat Ice Cream,3/4 teaspoon ground ginger
12900,Frozen Pumpkin Mousse with Walnut-Toffee Crunch,1/2 teaspoon ground ginger
12901,Rice Pudding with Persimmons and Dried Cranberries,1 1/2 teaspoons  orange peel
12902,Old-Fashioned Gingerbread with Molasses Whipped Cream,3/4 teaspoon ground ginger
12904,Pumpkin Custard Profiteroles with Maple Caramel,1 teaspoon ground ginger; chopped
12905,Dark Chocolate Mousse with Sugared Kumquats,6 ounce s bittersweet  chocolate
12906,Persimmon Salsa,2 tablespoons  white onion
12907,Mirliton Relish,3 1/2 pound s chayote squash
12908,Cranberry Compote with Ginger and Molasses,1 tablespoon finely  peeled fresh ginger; 1 tablespoon  shallot
12909,Cranberry and Red-Grape Relish,8 cup s cranberry juice cocktail; 3 cups red seedless grapes; 2 tablespoons fresh lemon juice; 1 teaspoon finely  lemon peel
12910,Yukon Gold Potato and Wild Mushroom Gratin,12 ounce s assorted fresh wild mushrooms; 3 pounds Yukon Gold potatoes
12911,Roasted Autumn Vegetables,1 1/4 pound s red-skinned sweet potatoes; 1/2 cup  red onion; 1/4 cup chopped fresh chives
12912,Orange-Glazed Carrot Ribbons,2 pound s large long carrots; 2 cups orange juice; Chopped chives
12913,Mashed Potatoes and Turnips with Roasted Pear Purée,2 tablespoons fresh lemon juice; 8 Bosc pears
12914,"Haricots Verts, Roasted Fennel, and Shallots",2 l arge fresh fennel bulbs; 3/4 pound shallots
12915,Creamy Mashed Potatoes with Goat Cheese and Fresh Sage,2 pound s Yukon Gold potatoes
12916,Caramelized Spiced Carrots,1 cup pomegranate molasses*; 1/4 cup finely  peeled fresh ginger; 4 1/2 pounds medium carrots
12917,Butternut Squash with Tangerine and Sage Glaze,Fresh sage leaves
12918,Boston Brown Bread Stuffing with Bacon and Tarragon,4 ounce s bacon; 3/4 cup chopped onion; 1/4 cup chopped fresh chives; 3 tablespoons chopped fresh tarragon
12919,Butternut Squash and Mushroom Lasagna,2 1/2 cup s chopped onions; 1/2 pound crimini  mushrooms; 4 tablespoons chopped fresh thyme; 4 tablespoons  fresh sage
12920,Turkey Wraps with Curry-Chutney Mayonnaise and Peanuts,1/4 cup mango chutney; 2 cups  cooked turkey meat; 1 cup chopped fresh cilantro; 1 1/3 cups coleslaw mix  without dressing
12921,"Turkey Breast Roulade with Crimini, Porcini, and Pancetta",3/4 ounce dried porcini mushrooms; 4 ounces thinly  pancetta; 6 ounces fresh crimini mushrooms; 1/2 cup  onion; 1/4 cup chopped fresh Italian parsley; 1 tablespoon chopped fresh rosemary; 1/2 teaspoon fennel seeds
12922,Stacked Enchiladas with Turkey and Chipotle Beans,1 16-ounce can refried beans; 1 tablespoon chopped canned chipotle chiles*; 16 5- to 6-inch-diameter corn tortillas; 1 cup chopped green onions; 2 cups  cooked turkey meat
12923,Roast Turkey with Apple Cider Pan Gravy,1 pound turkey necks and/or wings; 1 pound onions; 3 cups coarsely chopped celery; 6 cups apple cider; 1 8-ounce Granny Smith apple; 1 16- to 17-pound turkey; 1 large onion
12924,Grilled Tea-Brined Turkey with Tea-and-Lemon Gravy,5 l emons; 11 4-inch-long rosemary sprigs; 1/2 cup fresh lemon juice; 2 turkey-size oven-roasting bags; 1 22-pound turkey; neck
12925,Tamarind-Honey Lamb Kebabs on Mashed Yams,2 1/4 pound s yams; 20 1 1/2-inch cubes boneless leg of lamb
12926,"Shrimp with Fennel, Dill, and Feta",2 medium fennel bulbs
12927,"Baby Eggplant, Olive, and Herb-Cheese Frittata",5 baby  purple eggplants
12928,Smoked Salmon and Cucumber Ribbon Salad with Caraway,3 tablespoons  shallot; 2 tablespoons fresh lemon juice; 1 English hothouse cucumber; 2 bunches watercress; 1 small Granny Smith apple
12930,Green Onion-Jalapeño Cornbread,1/2 cup thinly  green onions; 2 teaspoons  jalapeño chile with seeds
12931,Celery Bisque with Stilton Toasts,4 cup s  celery; 1 1/2 cups chopped leeks; 3/4 pound Yukon Gold potatoes
12932,Turkey-Noodle Soup With Ginger and Chiles,1/2 cup thinly  shallots; 6 1/8-inch-thick rounds peeled fresh ginger; 2 cups  cooked turkey meat; Fresh bean sprouts; Fresh mint leaves; Lime wedges
12933,Cranberry Kir Royale,8 tablespoons frozen cranberry juice cocktail concentrate; 1 1/3 cups chilled Champagne
12934,Prosciutto with Persimmons,
12935,Johnnycakes with Peekytoe Crab,9 ounce s fresh peekytoe crabmeat or other fresh crabmeat; 1/3 cup chopped fresh chives; 1 1/2 tablespoons fresh lemon juice
12936,Foie Gras-Stuffed Dates,6 l arge Medjool dates
12937,Banana-Black Bean Empañadas,1 firm medium-size banana; 3/4 cup chopped onion; 1 15-ounce can black beans; 1/4 cup chopped fresh cilantro
12938,Baked Oysters with Bacon and Leeks,8 ounce s bacon; 4 cups thinly  leeks; 1 cup  celery; 1 bay leaf; 20 medium oysters
12939,Herb-Brined Turkey with Pear Gravy,1/3 cup fresh thyme sprigs; 1/3 cup fresh marjoram sprigs; 1/3 cup fresh sage sprigs; 1 13-pound turkey; 1 cup pear juice; 3 tablespoons chopped fresh marjoram
12940,Breakfast Stack,1 scallion; 8 slices Canadian bacon
12941,Cranberry Eggnog Tart,Accompaniment: candied-orange and cranberry compote
12942,Meringue Roulade with Anise Cream,
12943,Orange Tangerine Pudding,2 cup s store-bought orange tangerine juice; 1 teaspoon finely  fresh orange or tangerine zest
12944,Sour Cream Pumpkin Pie,1/4 teaspoon ground ginger
12945,Maple Nut Pie,1/2 cup coarsely chopped pecans; 1/2 cup coarsely chopped walnuts; 1/2 cup coarsely chopped hazelnuts; or dried beans
12946,Poached Pears with Quince Paste in Parmesan Cloaks,10 firm-ripe Bosc pears with stems; 1/4 cup fresh lemon juice; 1 vanilla bean; 2  strips fresh lemon zest; a 1-inch melon-ball cutter
12947,Baked Figs in Lemon Syrup,3 l emons; 1 1/2 lb firm-ripe fresh purple figs
12948,Cranberry Jam,1/2 cup fresh orange juice
12949,Rich Turkey Gravy,Roasting pan with pan juices from a roast turkey
12950,Candied-Orange and Cranberry Compote,1 l arge navel orange; 1 tablespoon Grand Marnier or other orange-flavored liqueur
12951,Broiled Tofu with Cilantro Pesto,2 cup s packed fresh cilantro leaves; 1 tablespoon fresh lime juice; Garnish: pine nuts; fresh cilantro leaves; lime wedges
12952,Apple and Cranberry Chutney,2 lb Gala apples; 1 medium onion; 1/2 cup fresh orange juice; 1/4 teaspoon ground ginger
12953,Swiss Chard Purses with Sausage Stuffing,2 l arge leeks
12954,Aloo Gobhi Stuffing,3 medium onions; 3 medium carrots; 3 celery ribs; 1 1/2 lb russet  potatoes; 1  head cauliflower
12955,Roasted Beet Risotto,1 small onion
12956,Sticky Rice with Chinese Sausage,1 cup Chinese dried black mushrooms* or dried shiitake mushrooms; 5 Chinese sausages*; 1 tablespoon  peeled fresh ginger; 1/2 cup thinly  scallion; 1 1/2 cups bottled peeled cooked whole chestnuts; Garnish: thinly  scallion greens
12957,Braised Fennel,2 fennel bulbs  with fronds
12958,Mixed Mushroom Tamales,36 l arge dried corn husks; 1/2 oz dried porcini mushrooms; 1/2 small onion; 1 tablespoon  garlic; 1 lb mixed fresh mushrooms such as shiitake caps
12959,Delicata Squash and Roasted Mushrooms with Thyme,1 tablespoon chopped fresh thyme; 2 lb delicata squash
12960,Jeweled Rice with Dried Fruit,1/2 cup dried apricots
12961,Celery-Root Purée with Truffle Butter,3 lb celery root
12962,Earthy Mashed Potatoes,2 lb large potatoes
12963,Broiled Polenta Sticks,
12964,Korean Pancakes,1 cup dried peeled  mung beans*; 2 medium carrots; 1 bunch scallions; 1 tablespoon  garlic
12965,Spiced Carrots,2 lb medium carrots; 2 teaspoons fresh lemon juice
12966,Sauteed Broccolini with Garlic,1 1/2 lb Broccolini; 2 garlic cloves
12967,Big Apple Pancake,1 l arge sweet apple such as Gala or Golden Delicious
12968,Roast Turkey with Pomegranate Gravy,"1 onion; 4 large fresh thyme sprigs; ""1/2 cup plus 1 tablespoon fresh pomegranate juice ""; Garnish: quartered pomegranates"
12969,Kale and Chickpea Soup,1 medium onion; 2 garlic cloves; 1 Turkish or 1/2 California bay leaf; 3/4 lb kale
12970,Chicken Schnitzel with Capers and Parsley,4  chicken cutlets; 2 tablespoons chopped fresh flat-leaf parsley; Accompaniment: lemon wedges
12971,Orzo with Ham and Goat Cheese,1/2 pound ham; 5 scallions
12972,Steamed Cod with Cauliflower and Saffron,1 2-pound head cauliflower; 1 garlic clove; 1 small carrot; 1 1/2 pounds small to medium mussels; 6 1/4-pound pieces cod or scrod fillet; 3 scallions; 2 tablespoons chopped fresh parsley
12973,Panfried Bean Burritos,2 medium tomatoes; 1 large white onion; 2 garlic cloves; 1 tablespoon fresh lime juice; 1  can refried beans
12974,"Roasted Squash, Chestnut, and Chicory Salad with Cranberry Vinaigrette",1 2-pound acorn squash; 1/4 cup fresh cranberries
12975,Smoked-Salmon and Cucumber Rolls,1  seedless cucumber; 1/4 cup  fresh chives; 2 tablespoons drained bottled horseradish; 1 pound thinly  smoked salmon
12976,Bruschette with Chickpea Purée and Arugula,1  can chickpeas; 1 1/2 tablespoons fresh lemon juice; Chopped arugula salad
12977,Roasted Cauliflower and Radicchio Salad,1 l arge head cauliflower; 1 1/2 tablespoons  shallot; 1 cup loosely packed fresh flat-leaf parsley leaves; and nuts coarsely chopped
12978,Pippin Apple Pie with Hazelnut Crust,3 1/2 pound s Pippin or Granny Smith apples
12979,"Caramelized Pistachio, Walnut, and Almond Tart",1 teaspoon  orange peel; 3/4 cup coarsely chopped walnuts
12980,Tangerine Granita with Vanilla Bean Cream,1 vanilla bean
12981,Pear and Dried Cherry Cobblers with Ginger-Chocolate Chip Biscuit Topping,2 1/4 pound s firm but ripe Anjou
12982,Cranberry-Lime Marmalade,2 cup s orange marmalade; 1 tablespoon  lime peel; 1/2 vanilla bean
12983,Spiced Winter Squash with Fennel,1 fennel bulb
12984,Baked Yams with Ginger-Molasses Butter,1/2 teaspoon ground ginger; 3 tablespoons  crystallized ginger; 6 8-ounce yams
12985,Roasted Portobello and Prosciutto Lasagna,2 1/2 pound s  portobello mushrooms; 1 cup chopped prosciutto; 2/3 cup chopped shallots; 1 teaspoon chopped fresh rosemary; 1 teaspoon chopped fresh thyme; 1 bay leaf
12986,Open-Face Wild Mushroom and Fontina Sandwiches,1 pound mixed fresh shiitake
12987,Sauteed Chicken with Tomato-Saffron Vinaigrette on Frisée,1/2 cup shallots; 2 tablespoons chopped fresh thyme; 1 1-pint basket cherry tomatoes; 4 skinless boneless chicken breast halves
12988,Pork Medallions with Mustard-Chive Sauce,2 cup s chopped leeks; 2 garlic cloves; 2 1-pound pork tenderloins; 2 tablespoons chopped fresh chives; 1 tablespoon chopped fresh tarragon; 2 tablespoons chopped fresh parsley
12989,"Open-Face Ham, Cheddar, and Apple Butter Sandwiches",1 1/4 pound s Black Forest ham; 1 bunch fresh chives; chopped
12990,Fig and Rosemary Pot Roast,1 8-ounce package dried Calimyrna figs
12991,Coffee-Braised Short Ribs with Ancho Chile,5 pound s 1-inch-thick flanken-style short ribs; 1 large onion; 1 large jalapeño
12992,Seared Coriander Scallops with Bok Choy and Hoisin,3/4 cup fresh orange juice; 2 teaspoons  peeled fresh ginger; 10 large sea scallops; 1 tablespoon coriander seeds; 2 baby bok choy
12993,Raised Cappuccino Doughnuts with Espresso Cream Filling,
12994,Pumpkin Doughnuts with Powdered Sugar Glaze and Spiced Sugar Doughnut Holes,1/2 teaspoon ground ginger
12995,Maple-Glazed Sour Cream Doughnuts with Sugared-Walnut Streusel,1 1/2 cup s chopped walnuts; 2 teaspoons  finely  orange peel
12996,Buttermilk Pancakes with Maple Syrup Apples,3 l arge Golden Delicious apples
12997,Spicy Asian Noodle and Chicken Salad,1 tablespoon  peeled fresh ginger; 4 cups thinly  cooked chicken; 2 large carrots; 6 green onions; 1/2 cup fresh cilantro leaves
12998,"Pear, Pancetta, and Walnut Salad",3/4 teaspoon whole coriander seeds; 1 tablespoon fresh lemon juice; 1/2 small shallot; 1 1/2 ounces thinly  pancetta; 1 large red Anjou pear
12999,Jerusalem Artichoke and Arugula Salad with Parmesan,2 tablespoons orange juice; 1 pound Jerusalem artichokes
13000,Crimson Coleslaw,2 tablespoons prepared white horseradish; 1 cup paper-thin slices red onion; 8 cups very thinly  red cabbage
13001,Onion Soup with Apple Cider,6 l arge onions
13002,Cod Chowder with Saffron and Fingerling Potatoes,4 thick-cut slices bacon; 1 1/2 cups chopped leeks; 3 8-ounce bottles clam juice; 1 pound fingerling or baby Dutch yellow potatoes; 1 teaspoon chopped fresh thyme; 6 5-ounce cod fillets
13003,Butterscotch Drop Scones,
13004,Roasted Bosc Pears with Pomegranate Glaze,3/4 cup pomegranate juice; 2 teaspoons  orange peel; 6 Bosc pears with stems
13005,Mai Tai,2 tablespoons fresh orange juice; 1 tablespoon fresh lime juice; Garnish: an orange slice
13006,"Feta, Cucumber and Spinach Pita Sandwiches",1 g arlic clove; 1 cup coarsely chopped English hothouse cucumber; 2 tablespoons chopped green onion; 2 tablespoons chopped fresh mint; 1 6-ounce package baby spinach
13007,Fish House Punch,1 1/2 cup s fresh lemon juice; 2 oz peach brandy; Garnish: lemon slices
13008,Moscow Mule,1 tablespoon fresh lime juice; Garnish: a lime slice
13009,Irish Coffee,
13010,Basil Ice Cream,3 tablespoons chopped fresh basil
13011,Spaghetti with Garlic,About 1 1/2 large heads garlic; 1 1/2 teaspoons finely  fresh lemon zest; 1/2 cup  fresh flat-leaf parsley
13012,Steamed Chicken with Black Mushrooms and Bok Choy,12 dried shiitake mushrooms*; 2 1/2 lb skinless chicken thighs; 3 scallions; 1 tablespoon  peeled fresh ginger; 1 1/2 lb baby bok choy
